Socket created
localhost resolved to 127.0.0.1
Connected
Strategie: 1 Runden: 100
Strategie 1 Anzahl Durchlaeufe 800
Strategie 1 Anzahl Durchlaeufe 512
Strategie 1 Anzahl Durchlaeufe 273
Strategie 1 Anzahl Durchlaeufe 370
Strategie 1 Anzahl Durchlaeufe 499
Strategie 1 Anzahl Durchlaeufe 259
Strategie 1 Anzahl Durchlaeufe 386
Strategie 1 Anzahl Durchlaeufe 316
Strategie 1 Anzahl Durchlaeufe 485
Strategie 1 Anzahl Durchlaeufe 419
Strategie 1 Anzahl Durchlaeufe 375
Strategie 1 Anzahl Durchlaeufe 355
Strategie 1 Anzahl Durchlaeufe 843
Strategie 1 Anzahl Durchlaeufe 404
Strategie 1 Anzahl Durchlaeufe 531
Strategie 1 Anzahl Durchlaeufe 377
Strategie 1 Anzahl Durchlaeufe 578
Strategie 1 Anzahl Durchlaeufe 376
Strategie 1 Anzahl Durchlaeufe 447
Strategie 1 Anzahl Durchlaeufe 475
Strategie 1 Anzahl Durchlaeufe 222
Strategie 1 Anzahl Durchlaeufe 626
Strategie 1 Anzahl Durchlaeufe 328
Strategie 1 Anzahl Durchlaeufe 333
Strategie 1 Anzahl Durchlaeufe 305
Strategie 1 Anzahl Durchlaeufe 531
Strategie 1 Anzahl Durchlaeufe 309
Strategie 1 Anzahl Durchlaeufe 440
Strategie 1 Anzahl Durchlaeufe 347
Strategie 1 Anzahl Durchlaeufe 324
Strategie 1 Anzahl Durchlaeufe 704
Strategie 1 Anzahl Durchlaeufe 434
Strategie 1 Anzahl Durchlaeufe 309
Strategie 1 Anzahl Durchlaeufe 254
Strategie 1 Anzahl Durchlaeufe 301
Strategie 1 Anzahl Durchlaeufe 445
Strategie 1 Anzahl Durchlaeufe 408
Strategie 1 Anzahl Durchlaeufe 485
Strategie 1 Anzahl Durchlaeufe 388
Strategie 1 Anzahl Durchlaeufe 253
Strategie 1 Anzahl Durchlaeufe 217
Strategie 1 Anzahl Durchlaeufe 527
Strategie 1 Anzahl Durchlaeufe 506
Strategie 1 Anzahl Durchlaeufe 471
Strategie 1 Anzahl Durchlaeufe 358
Strategie 1 Anzahl Durchlaeufe 250
Strategie 1 Anzahl Durchlaeufe 395
Strategie 1 Anzahl Durchlaeufe 283
Strategie 1 Anzahl Durchlaeufe 459
Strategie 1 Anzahl Durchlaeufe 281
Strategie 1 Anzahl Durchlaeufe 473
Strategie 1 Anzahl Durchlaeufe 303
Strategie 1 Anzahl Durchlaeufe 248
Strategie 1 Anzahl Durchlaeufe 757
Strategie 1 Anzahl Durchlaeufe 395
Strategie 1 Anzahl Durchlaeufe 348
Strategie 1 Anzahl Durchlaeufe 391
Strategie 1 Anzahl Durchlaeufe 309
Strategie 1 Anzahl Durchlaeufe 251
Strategie 1 Anzahl Durchlaeufe 288
Strategie 1 Anzahl Durchlaeufe 201
Strategie 1 Anzahl Durchlaeufe 280
Strategie 1 Anzahl Durchlaeufe 424
Strategie 1 Anzahl Durchlaeufe 596
Strategie 1 Anzahl Durchlaeufe 549
Strategie 1 Anzahl Durchlaeufe 506
Strategie 1 Anzahl Durchlaeufe 502
Strategie 1 Anzahl Durchlaeufe 410
Strategie 1 Anzahl Durchlaeufe 269
Strategie 1 Anzahl Durchlaeufe 497
Strategie 1 Anzahl Durchlaeufe 712
Strategie 1 Anzahl Durchlaeufe 283
Strategie 1 Anzahl Durchlaeufe 447
Strategie 1 Anzahl Durchlaeufe 304
Strategie 1 Anzahl Durchlaeufe 287
Strategie 1 Anzahl Durchlaeufe 249
Strategie 1 Anzahl Durchlaeufe 267
Strategie 1 Anzahl Durchlaeufe 364
Strategie 1 Anzahl Durchlaeufe 285
Strategie 1 Anzahl Durchlaeufe 383
Strategie 1 Anzahl Durchlaeufe 366
Strategie 1 Anzahl Durchlaeufe 348
Strategie 1 Anzahl Durchlaeufe 319
Strategie 1 Anzahl Durchlaeufe 759
Strategie 1 Anzahl Durchlaeufe 386
Strategie 1 Anzahl Durchlaeufe 270
Strategie 1 Anzahl Durchlaeufe 515
Strategie 1 Anzahl Durchlaeufe 238
Strategie 1 Anzahl Durchlaeufe 335
Strategie 1 Anzahl Durchlaeufe 308
Strategie 1 Anzahl Durchlaeufe 266
Strategie 1 Anzahl Durchlaeufe 349
Strategie 1 Anzahl Durchlaeufe 632
Strategie 1 Anzahl Durchlaeufe 307
Strategie 1 Anzahl Durchlaeufe 447
Strategie 1 Anzahl Durchlaeufe 470
Strategie 1 Anzahl Durchlaeufe 237
Strategie 1 Anzahl Durchlaeufe 348
Strategie 1 Anzahl Durchlaeufe 303
Strategie 1 Anzahl Durchlaeufe 281
